Discontinuidad	Grupo	Nombre	Cantidad	Valorizado[CR al 16/05/26]	Monto de ventas	Ventas - Valorizado[CR al 16/05/26]
LINEA	CORSETERIA	KAURY	1136	11357170.24	20947628.95	9590458.71
LINEA	PACKB	KAURY	1756	11198924.4	19984119.51	8785195.11
DISC	CORSETERIA	KAURY	589	5468961.29	6834597.22	1365635.93
PROMO	CORSETERIA	KAURY	424	1318764.72	2552208.1	1233443.38
LINEA	ROPA	KAURY	37	268269.28	477744.7	209475.42
PROMO	PACKB	KAURY	127	167400	506237.13	338837.13
DISC	ACCESORIOS	KAURY	12	88463.46	143620	55156.54
LINEA	BOMBACHAS	KAURY	8	61876.16	129228	67351.84
DISC	PACKB	KAURY	4	21989.74	35917	13927.26
DISC	PIJAMAS	KAURY	2	13223.37	25845	12621.63
DISC	BOMBACHAS	KAURY	2	10691.43	18463.75	7772.32
Subtotal 2:	KAURY	 	4097	29975734.09	51655609.36	21679875.27
LINEA	CORSETERIA	ANDRESSA	615	6771243.2	14354106.42	7582863.22
LINEA	PACKB	ANDRESSA	322	1910092.25	3860443.67	1950351.42
AEP	CORSETERIA	ANDRESSA	168	1802321.63	3470879.06	1668557.43
DISC	CORSETERIA	ANDRESSA	130	1752109.45	3354565.72	1602456.27
	PIJAMAS	ANDRESSA	66	1444162.48	2645445.79	1201283.31
LINEA	PIJAMAS	ANDRESSA	50	1094022.08	1817397.51	723375.43
LINEA	ACCESORIOS	ANDRESSA	19	335986.05	727229.6	391243.55
DISC	PIJAMAS	ANDRESSA	20	285309.66	479250	193940.34
DISC	BOMBACHAS	ANDRESSA	76	269316.01	576744	307427.99
LINEA	BOMBACHAS	ANDRESSA	70	246395.41	483676.25	237280.84
DISC	PACKB	ANDRESSA	14	80099.07	132960.25	52861.18
AP	CORSETERIA	ANDRESSA	9	51852.89	119459.84	67606.95
LINEA	ROPA	ANDRESSA	2	37981.72	55831.5	17849.78
DISC	ACCESORIOS	ANDRESSA	1	6666.8	0	-6666.8
AP	ACCESORIOS	ANDRESSA	1	3500	15000	11500
Subtotal 2:	ANDRESSA	 	1563	16091058.7	32092989.61	16001930.91
PROMO	BOXER	XY	2824	8573164.8	17145622.38	8572457.58
LINEA	BOXER	XY	744	3270924.6	5997628.61	2726704.01
LINEA	ROPA	XY	70	543000	1263500	720500
DISC	BOXER	XY	11	57301.28	95940	38638.72
Subtotal 2:	XY	 	3649	12444390.68	24502690.99	12058300.31
PROMO	PIJAMAS	MARCELA KOURY	335	3736933.01	8974917.39	5237984.38
LINEA	MEDIAS	MARCELA KOURY	1563	3372889.18	6147265.32	2774376.14
DISC	CORSETERIA	MARCELA KOURY	300	1715833.89	2830788.15	1114954.26
LINEA	CORSETERIA	MARCELA KOURY	132	1089631.74	2033383.92	943752.18
PROMO	MEDIAS	MARCELA KOURY	506	619771.98	968369.03	348597.05
DISC	MEDIAS	MARCELA KOURY	313	466620.29	910446.82	443826.53
LINEA	PIJAMAS	MARCELA KOURY	17	390376.5	661508	271131.5
PROMO	CORSETERIA	MARCELA KOURY	24	84000	236000	152000
LINEA	PACKB	MARCELA KOURY	15	63841.57	117984	54142.43
DISC	ACCESORIOS	MARCELA KOURY	1	6350.7	9644.25	3293.55
Subtotal 2:	MARCELA KOURY	 	3206	11546248.86	22890306.88	11344058.02
LINEA	CORSETERIA	TRENDA	757	5957271.82	11508121.66	5550849.84
DISC	CORSETERIA	TRENDA	940	3831583.23	8374360.07	4542776.84
LINEA	PACKB	TRENDA	232	1370362.78	2991158.94	1620796.16
LINEA	BOMBACHAS	TRENDA	52	254870.28	560633.35	305763.07
DISC	BOMBACHAS	TRENDA	10	61499	127612.25	66113.25
DISC	PACKB	TRENDA	1	4302.83	12122.25	7819.42
Subtotal 2:	TRENDA	 	1992	11479889.94	23574008.52	12094118.58
LINEA	CORSETERIA	SIGRY	960	8800500	15535647.26	6735147.26
DISC	CORSETERIA	SIGRY	107	882547.16	1294589.35	412042.19
PROMO	CORSETERIA	SIGRY	17	189404.06	185180	-4224.06
LINEA	PACKB	SIGRY	14	94000	140460	46460
Subtotal 2:	SIGRY	 	1098	9966451.22	17155876.61	7189425.39
LINEA	CORSETERIA	BRIGITTE	431	4274942.4	7962574.39	3687631.99
LINEA	PACKB	BRIGITTE	268	1852872.5	3506615.64	1653743.14
DISC	PACKB	BRIGITTE	312	1730765.2	2702922.33	972157.13
LINEA	ROPA	BRIGITTE	80	820530.5	1397124.97	576594.47
LINEA	BOMBACHAS	BRIGITTE	26	190525.8	381297.75	190771.95
DISC	ROPA	BRIGITTE	5	47371.84	90096	42724.16
DISC	CORSETERIA	BRIGITTE	2	14495.74	21308.5	6812.76
Subtotal 2:	BRIGITTE	 	1124	8931503.98	16061939.58	7130435.6
LINEA	CORSETERIA	BELEN	753	6149600.24	10550089.21	4400488.97
LINEA	PACKB	BELEN	104	468700	761039.18	292339.18
DISC	CORSETERIA	BELEN	44	334563.6	541165.76	206602.16
PROMO	CORSETERIA	BELEN	21	191604.07	208200	16595.93
Subtotal 2:	BELEN	 	922	7144467.91	12060494.15	4916026.24
PROMO	BOXER	DUFOUR	2772	5716642.12	11331648.18	5615006.06
PROMO	MEDIAS	DUFOUR	977	987800	2077405.25	1089605.25
LINEA	MEDIAS	DUFOUR	354	354000	775565.53	421565.53
Subtotal 2:	DUFOUR	 	4103	7058442.12	14184618.96	7126176.84
PROMO	CORSETERIA	MAIA	646	3418657.4	6048120.37	2629462.97
LINEA	PACKB	MAIA	1381	2895870	5076138.69	2180268.69
PROMO	PACKB	MAIA	216	481055.3	957139.8	476084.5
LINEA	CORSETERIA	MAIA	32	102400	180311	77911
Subtotal 2:	MAIA	 	2275	6897982.7	12261709.86	5363727.16
LINEA	CORSETERIA	SEXY LALI	608	5511037.68	10099806.62	4588768.94
LINEA	PACKB	SEXY LALI	144	787513.71	1530921.9	743408.19
DISC	CORSETERIA	SEXY LALI	44	333111.92	553986.07	220874.15
DISC	PACKB	SEXY LALI	4	19023.08	34945	15921.92
DISC	BOMBACHAS	SEXY LALI	2	3929.04	7735	3805.96
Subtotal 2:	SEXY LALI	 	802	6654615.43	12227394.59	5572779.16
LINEA	BOXER	G3	1078	2856437.96	5488361.96	2631924
DISC	BOXER	G3	479	1430000.95	3093241.36	1663240.41
PROMO	BOXER	G3	358	1170918.9	2308183.37	1137264.47
PROMO	BOMBACHAS	G3	240	816000	1969065	1153065
Subtotal 2:	G3	 	2155	6273357.81	12858851.69	6585493.88
PROMO	CORSETERIA	RIO	988	4429281.6	8947827.69	4518546.09
PROMO	PACKB	RIO	438	938731.54	1619564.96	680833.42
PROMO	PIJAMAS	RIO	23	253000	461000	208000
PROMO	MEDIAS	RIO	218	171297.29	403593.06	232295.77
PROMO	BOMBACHAS	RIO	16	47500	82380	34880
PROMO	ACCESORIOS	RIO	3	19500	30000	10500
PROMO	BOXER	RIO	1	4200	5000	800
LINEA	BOXER	RIO	1	3000	5775	2775
Subtotal 2:	RIO	 	1688	5866510.43	11555140.71	5688630.28
LINEA	ROPA	KIERO	272	2910852.88	5666611.15	2755758.27
LINEA	CORSETERIA	KIERO	248	1695379.98	3661322.9	1965942.92
LINEA	PACKB	KIERO	151	881238.86	1904317.95	1023079.09
DISC	CORSETERIA	KIERO	27	170298.97	363254.1	192955.13
DISC	PACKB	KIERO	35	168608.46	340986.5	172378.04
LINEA	BOMBACHAS	KIERO	6	23547.78	38845	15297.22
DISC	BOMBACHAS	KIERO	4	12448.74	24148.5	11699.76
Subtotal 2:	KIERO	 	743	5862375.67	11999486.1	6137110.43
LINEA	CORSETERIA	TIENTO	488	3646720.93	6845714.07	3198993.14
DISC	CORSETERIA	TIENTO	102	789874.68	1264096.42	474221.74
LINEA	PACKB	TIENTO	57	332178.93	571672.25	239493.32
LINEA	BOMBACHAS	TIENTO	27	129893.2	241171.75	111278.55
PROMO	CORSETERIA	TIENTO	23	92600	173073.03	80473.03
DISC	PACKB	TIENTO	3	13562.43	19386.5	5824.07
Subtotal 2:	TIENTO	 	700	5004830.17	9115114.02	4110283.85
LINEA	MEDIAS	ELEMENTO	3434	4840990.43	10165962.59	5324972.16
PROMO	PIJAMAS	ELEMENTO	28	154000	284600	130600
Subtotal 2:	ELEMENTO	 	3462	4994990.43	10450562.59	5455572.16
LINEA	CORSETERIA	B&K	607	3684850	7367168.01	3682318.01
DISC	BOXER	B&K	123	417500	595675.02	178175.02
PROMO	BOMBACHAS	B&K	47	150400	245375	94975
LINEA	BOXER	B&K	38	117800	264546.25	146746.25
DISC	CORSETERIA	B&K	35	112000	171268.83	59268.83
PROMO	PACKB	B&K	1	3200	6000	2800
Subtotal 2:	B&K	 	851	4485750	8650033.11	4164283.11
LINEA	CORSETERIA	LARA	576	3920600	6375357.79	2454757.79
LINEA	PACKB	LARA	47	212800	345689.28	132889.28
